Year,X,Y,Type,Bands,Bin
2020,20200612,0.4088,7/29/22SigFile,"5,2",-1
2020,20200617,0.1857,7/29/22SigFile,"5,2",-1
2020,20200627,1.4181,7/29/22SigFile,"5,2",-1
2020,20200705,1.0545,7/29/22SigFile,"5,2",-1
2020,20200717,1.327,7/29/22SigFile,"5,2",-1
2020,20200722,1.257,7/29/22SigFile,"5,2",-1
2020,20200730,0.7609,7/29/22SigFile,"5,2",-1
2020,20200811,0.3686,7/29/22SigFile,"5,2",-1
2020,20200821,0.1352,7/29/22SigFile,"5,2",-1
2020,20200612,0.5684,Actual,"5,",-1
2020,20200617,0.6693,Actual,"5,",-1
2020,20200627,1.3436,Actual,"5,",-1
2020,20200705,1.7252,Actual,"5,",-1
2020,20200717,1.5631,Actual,"5,",-1
2020,20200722,1.2384,Actual,"5,",-1
2020,20200730,0.9417,Actual,"5,",-1
2020,20200811,0.4281,Actual,"5,",-1
2020,20200821,0.3718,Actual,"5,",-1
2022,20220615,0.2515,Actual,"5,",-1
2022,20220625,0.3892,Actual,"5,",-1
2022,20220708,0.8143,Actual,"5,",-1
2022,20220710,1.8812,Actual,"5,",-1
2022,20220720,1.9518,Actual,"5,",-1
2022,20220729,1.8628,Actual,"5,",-1
2022,20220813,1.0425,Actual,"5,",-1
2022,20220828,0.5806,Actual,"5,",-1
2022,20220615,0.0041,7/29/22SigFile,"5,2",-1
2022,20220625,0.068,7/29/22SigFile,"5,2",-1
2022,20220708,0.8863,7/29/22SigFile,"5,2",-1
2022,20220710,2.0507,7/29/22SigFile,"5,2",-1
2022,20220720,2.2471,7/29/22SigFile,"5,2",-1
2022,20220729,1.6209,7/29/22SigFile,"5,2",-1
2022,20220813,0.7631,7/29/22SigFile,"5,2",-1
2022,20220828,0.2099,7/29/22SigFile,"5,2",-1
2021,20210602,0.0123,7/29/22SigFile,"5,2",-1
2021,20210610,0.2138,7/29/22SigFile,"5,2",-1
2021,20210622,0.5271,7/29/22SigFile,"5,2",-1
2021,20210702,0.8227,7/29/22SigFile,"5,2",-1
2021,20210712,0.887,7/29/22SigFile,"5,2",-1
2021,20210725,1.4982,7/29/22SigFile,"5,2",-1
2021,20210730,8.2084,7/29/22SigFile,"5,2",-1
2021,20210809,0.7646,7/29/22SigFile,"5,2",-1
2021,20210831,0.1497,7/29/22SigFile,"5,2",-1
2021,20210602,0.624,Actual,"5,",-1
2021,20210610,0.6718,Actual,"5,",-1
2021,20210622,0.9104,Actual,"5,",-1
2021,20210702,0.8501,Actual,"5,",-1
2021,20210712,1.3201,Actual,"5,",-1
2021,20210725,1.8985,Actual,"5,",-1
2021,20210730,1.8161,Actual,"5,",-1
2021,20210809,0.882,Actual,"5,",-1
2021,20210831,0.5647,Actual,"5,",-1
2022,20220615,0.4568,Kmeans,"1,2,3,4",1
2022,20220625,0.4667,Kmeans,"1,2,3,4",1
2022,20220708,0.7687,Kmeans,"1,2,3,4",1
2022,20220710,0.6386000000000001,Kmeans,"1,2,3,4",1
2022,20220720,0.0386,Kmeans,"1,2,3,4",1
2022,20220729,0.3117,Kmeans,"1,2,3,4",1
2022,20220813,0.1437,Kmeans,"1,2,3,4",1
2022,20220828,1.1957,Kmeans,"1,2,3,4",1
2022,20220615,0.0065,Kmeans,"1,2,3,4",2
2022,20220625,0.013,Kmeans,"1,2,3,4",2
2022,20220708,0.9762,Kmeans,"1,2,3,4",2
2022,20220710,1.4432,Kmeans,"1,2,3,4",2
2022,20220720,0.7407,Kmeans,"1,2,3,4",2
2022,20220729,0.7773,Kmeans,"1,2,3,4",2
2022,20220813,0.4734,Kmeans,"1,2,3,4",2
2022,20220828,0.7289,Kmeans,"1,2,3,4",2
2022,20220615,0.0,Kmeans,"1,2,3,4",3
2022,20220625,0.0,Kmeans,"1,2,3,4",3
2022,20220708,0.281,Kmeans,"1,2,3,4",3
2022,20220710,0.959,Kmeans,"1,2,3,4",3
2022,20220720,2.5103,Kmeans,"1,2,3,4",3
2022,20220729,3.053,Kmeans,"1,2,3,4",3
2022,20220813,0.4609,Kmeans,"1,2,3,4",3
2022,20220828,0.5021,Kmeans,"1,2,3,4",3
2022,20220615,0.0014,Kmeans,"1,2,3,4",4
2022,20220625,0.0,Kmeans,"1,2,3,4",4
2022,20220708,0.0,Kmeans,"1,2,3,4",4
2022,20220710,0.3471,Kmeans,"1,2,3,4",4
2022,20220720,1.4369,Kmeans,"1,2,3,4",4
2022,20220729,1.4295,Kmeans,"1,2,3,4",4
2022,20220813,1.2457,Kmeans,"1,2,3,4",4
2022,20220828,0.6204999999999999,Kmeans,"1,2,3,4",4
