OBJECTID,X,Y,Z
1,-184435,-2322675,979.06422
2,-182482,-2321952,978.5961227
3,-182628,-2321940,978.3079588
4,-182945,-2321915,979.1054643
5,-183361,-2321905,981.0936671
6,-183840,-2321867,985.1814111
7,-184207,-2321861,985.7305437
8,-184340,-2321895,986.0184415
9,-184486,-2321883,985.963571
10,-184558,-2321968,986.6889166
11,-184626,-2321895,984.0923027
12,-184668,-2322116,986.6405259
13,-184704,-2322361,984.5129487
14,-184720,-2322562,981.5623165
15,-184732,-2322719,979.5216456
16,-184767,-2322941,977.895729
17,-184804,-2323208,976.4273745
18,-184740,-2323124,978.0939889
19,-184754,-2323302,977.6466417
20,-184775,-2323458,973.7656466
21,-184786,-2323593,977.6157141
22,-184808,-2323771,979.5868643
23,-184816,-2323770,979.6244014
24,-184814,-2323950,981.2087365
25,-184845,-2324241,983.1781674
26,-184762,-2324225,982.3780062
27,-184626,-2324258,981.1977554
28,-184439,-2324273,980.3825845
29,-184021,-2324261,979.3046108
30,-183711,-2324376,980.4234752
31,-183287,-2324387,978.4971074
32,-182897,-2324417,976.9826458
33,-182504,-2324516,979.4801484
34,-182199,-2324494,983.9320335
35,-181902,-2324563,987.1270078
36,-181653,-2324515,992.1100046
37,-181417,-2324533,991.885417
38,-181207,-2324460,994.8104309
39,-182285,-2321945,978.3359015
40,-181983,-2321946,980.2393214
41,-181691,-2321969,981.3675062
42,-181368,-2322016,982.2211559
43,-181003,-2322045,983.351437
44,-180913,-2322052,982.6794003
45,-180945,-2322455,979.9971264
46,-180974,-2323037,978.1118065
47,-181019,-2323934,993.9882644
48,-181054,-2324381,996.6226118
49,-182764,-2321907,978.235439
50,-182360,-2321961,978.0220382
51,-184449,-2322134,988.0900262
52,-184603,-2322324,986.3394166
53,-184615,-2322166,987.46875
54,-184568,-2322192,987.6406459
55,-184637,-2322344,985.1285014
56,-184688,-2322565,980.974032
57,-184633,-2322502,982.0687785
58,-184588,-2322438,984.0950344
59,-184534,-2322375,986.5352605
60,-184413,-2322294,986.6436869
61,-184459,-2321953,987.0374645
62,-184481,-2322019,987.7206662
63,-184501,-2322175,987.5834363
64,-184529,-2322015,987.5535279
65,-184481,-2322334,986.1657922
66,-184589,-2322663,979.8949487
67,-184628,-2322840,978.0985115
68,-184664,-2322679,980.0207999
69,-184704,-2322766,978.7783206
70,-184499,-2322558,981.5015809
71,-184391,-2322431,984.2868456
72,-184373,-2322207,988.4881496
73,-184326,-2322639,981.091853
74,-184385,-2322049,987.5598115
75,-183937,-2322377,984.0057324
76,-184214,-2322265,986.3721504
77,-183616,-2322650,975.6312279
78,-183559,-2322655,975.3704936
79,-183255,-2322228,979.9364501
80,-183485,-2322233,980.6732558
81,-183692,-2322171,984.0008418
82,-183781,-2322164,984.8260833
83,-184112,-2322521,982.3026041
84,-184206,-2322671,980.2195828
85,-184260,-2323049,975.3927504
86,-184341,-2323043,974.1644615
87,-184458,-2322966,978.481548
88,-184525,-2322983,978.4675255
89,-184609,-2323224,973.7398272
90,-184647,-2323491,974.5779497
91,-184683,-2323848,979.0704778
92,-184504,-2323750,976.0344648
93,-183834,-2323240,972.8326007
94,-183516,-2323153,969.2259446
95,-182851,-2323115,969.8739616
96,-182760,-2322988,970.5966448
97,-182523,-2322579,971.2431001
98,-182068,-2322817,966.515625
99,-181920,-2322806,966.886704
100,-181768,-2322953,965.4600667
101,-181640,-2322985,965.7269143
102,-181883,-2323799,978.7698721
103,-181414,-2323858,985.5780197
104,-182215,-2323863,975.7034944
105,-182955,-2323917,968.8729531
106,-183473,-2323944,971.47773
107,-183496,-2321962,981.6480823
108,-183991,-2322125,985.8760952
109,-184119,-2322093,987.4767743
110,-183715,-2322665,976.215993
111,-182789,-2323053,969.5652914
112,-182599,-2323338,965.5315891
113,-182431,-2323283,965.4860467
114,-182168,-2323057,965.5959063
115,-181420,-2323835,985.2044672
116,-181367,-2323367,973.4491344
117,-182798,-2322535,973.3165256
118,-183044,-2322245,979.0133138
119,-183123,-2322824,973.1279359
120,-183938,-2322805,974.3762606
121,-182170,-2323394,965.6331595
122,-181794,-2323176,964.9656686
123,-181461,-2323202,968.0985473
124,-183819,-2322634,977.2976524
125,-184197,-2323279,976.4995587
126,-183767,-2323223,971.2828249
127,-183947,-2323119,970.7852132
128,-183757,-2323404,970.4205365
129,-182700,-2323893,969.7199507
130,-183042,-2323663,966.1138066
131,-182234,-2322646,967.7488874
132,-181526,-2322679,970.0324284
133,-181292,-2323035,969.6600061
134,-181588,-2323890,984.3670631
135,-181237,-2323895,989.0334658
136,-181006,-2323553,985.8545481
137,-181224,-2322050,982.8682786
138,-181573,-2322023,981.2617844
139,-181829,-2321958,981.5557209
140,-182385,-2322792,967.9329136
141,-183980,-2323949,976.1904516
142,-183297,-2323688,966.6782703
143,-183543,-2323489,968.0525728
144,-181857,-2322833,966.4231394
145,-181175,-2322572,975.9228994
146,-181166,-2323090,973.2687019
147,-181172,-2323585,982.8309971
148,-181640,-2323503,973.1792996
149,-181024,-2322426,980.4049622
150,-181293,-2322517,975.0763055
151,-181846,-2322384,974.6184931
152,-181659,-2322399,975.0443118
153,-182232,-2322196,976.0843739
154,-182661,-2322455,973.2687608
155,-183111,-2322577,974.7611404
156,-183422,-2322575,976.4408975
157,-182992,-2322924,972.5282762
158,-182667,-2322950,969.6561063
159,-182474,-2322988,968.2634917
160,-182359,-2323087,965.7422869
161,-184541,-2322779,977.0012238
162,-184653,-2323153,975.8921682
163,-184700,-2323442,975.5390357
