OBJECTID,X,Y,Z
1,-184435,-2322675,983.0331242
2,-182482,-2321952,980.3132909
3,-182628,-2321940,980.4092705
4,-182945,-2321915,982.2154916
5,-183361,-2321905,982.9636374
6,-183840,-2321867,985.3265852
7,-184207,-2321861,988.0403801
8,-184340,-2321895,988.0382343
9,-184486,-2321883,987.8741108
10,-184558,-2321968,988.4101172
11,-184626,-2321895,986.4905466
12,-184668,-2322116,989.0090062
13,-184704,-2322361,986.6335797
14,-184720,-2322562,984.6190818
15,-184732,-2322719,984.4102311
16,-184767,-2322941,979.8165271
17,-184804,-2323208,978.3652624
18,-184740,-2323124,978.769636
19,-184754,-2323302,977.798035
20,-184775,-2323458,977.548168
21,-184786,-2323593,978.1069281
22,-184808,-2323771,980.9873988
23,-184816,-2323770,981.1194319
24,-184814,-2323950,983.1416075
25,-184845,-2324241,985.3603534
26,-184762,-2324225,984.4378927
27,-184626,-2324258,983.554798
28,-184439,-2324273,982.6958809
29,-184021,-2324261,981.7573814
30,-183711,-2324376,982.2794431
31,-183287,-2324387,980.838821
32,-182897,-2324417,980.7666361
33,-182504,-2324516,982.8724528
34,-182199,-2324494,985.2859499
35,-181902,-2324563,988.638855
36,-181653,-2324515,993.4896315
37,-181417,-2324533,997.0017141
38,-181207,-2324460,998.9456655
39,-182285,-2321945,980.8377043
40,-181983,-2321946,981.4575854
41,-181691,-2321969,982.728021
42,-181368,-2322016,984.1653623
43,-181003,-2322045,985.2188127
44,-180913,-2322052,984.9427855
45,-180945,-2322455,981.7472551
46,-180974,-2323037,979.533756
47,-181019,-2323934,997.6617568
48,-181054,-2324381,1000.711546
49,-182764,-2321907,981.5052068
50,-182360,-2321961,980.4795748
51,-184449,-2322134,990.5493465
52,-184603,-2322324,988.7980636
53,-184615,-2322166,989.9804814
54,-184568,-2322192,990.770454
55,-184637,-2322344,988.6933721
56,-184688,-2322565,984.0025751
57,-184633,-2322502,984.6538927
58,-184588,-2322438,986.3749786
59,-184534,-2322375,987.6001827
60,-184413,-2322294,988.4613089
61,-184459,-2321953,989.1096294
62,-184481,-2322019,989.6596086
63,-184501,-2322175,990.7206191
64,-184529,-2322015,989.304017
65,-184481,-2322334,988.1109924
66,-184589,-2322663,982.7510547
67,-184628,-2322840,980.3165866
68,-184664,-2322679,983.8131631
69,-184704,-2322766,982.2458898
70,-184499,-2322558,984.7536126
71,-184391,-2322431,985.4732339
72,-184373,-2322207,990.1436685
73,-184326,-2322639,981.4789379
74,-184385,-2322049,990.0400682
75,-183937,-2322377,982.3206425
76,-184214,-2322265,986.514385
77,-183616,-2322650,979.2285131
78,-183559,-2322655,979.3223555
79,-183255,-2322228,981.3045551
80,-183485,-2322233,982.2641389
81,-183692,-2322171,984.2705331
82,-183781,-2322164,985.5594027
83,-184112,-2322521,983.5620118
84,-184206,-2322671,981.127906
85,-184260,-2323049,976.4099735
86,-184341,-2323043,978.1170147
87,-184458,-2322966,977.9948749
88,-184525,-2322983,978.3963007
89,-184609,-2323224,976.8814095
90,-184647,-2323491,976.4608137
91,-184683,-2323848,980.5086953
92,-184504,-2323750,977.3360613
93,-183834,-2323240,974.1663644
94,-183516,-2323153,974.8007468
95,-182851,-2323115,971.9644833
96,-182760,-2322988,971.4339255
97,-182523,-2322579,972.7525483
98,-182068,-2322817,970.3078153
99,-181920,-2322806,969.9662943
100,-181768,-2322953,968.9243249
101,-181640,-2322985,969.2717266
102,-181883,-2323799,982.4449989
103,-181414,-2323858,989.6123582
104,-182215,-2323863,979.4413073
105,-182955,-2323917,969.8325624
106,-183473,-2323944,973.2843644
107,-183496,-2321962,984.0152341
108,-183991,-2322125,987.6121856
109,-184119,-2322093,989.463004
110,-183715,-2322665,978.1062996
111,-182789,-2323053,972.1305837
112,-182599,-2323338,967.5304988
113,-182431,-2323283,967.7016268
114,-182168,-2323057,968.8513558
115,-181420,-2323835,988.8789827
116,-181367,-2323367,976.0519276
117,-182798,-2322535,976.0619481
118,-183044,-2322245,980.6430475
119,-183123,-2322824,974.3232026
120,-183938,-2322805,976.3389203
121,-182170,-2323394,968.4998375
122,-181794,-2323176,968.8140407
123,-181461,-2323202,971.6836873
124,-183819,-2322634,978.7683925
125,-184197,-2323279,974.8658552
126,-183767,-2323223,971.8751856
127,-183947,-2323119,974.8845864
128,-183757,-2323404,970.8619182
129,-182700,-2323893,969.6876111
130,-183042,-2323663,968.861017
131,-182234,-2322646,971.6196266
132,-181526,-2322679,972.7525584
133,-181292,-2323035,972.785099
134,-181588,-2323890,988.2976848
135,-181237,-2323895,992.9153824
136,-181006,-2323553,988.8109322
137,-181224,-2322050,984.9407456
138,-181573,-2322023,983.3544328
139,-181829,-2321958,981.855597
140,-182385,-2322792,970.523232
141,-183980,-2323949,976.035808
142,-183297,-2323688,970.3728958
143,-183543,-2323489,970.3307281
144,-181857,-2322833,969.9374449
145,-181175,-2322572,978.0818193
146,-181166,-2323090,975.4345449
147,-181172,-2323585,985.8475527
148,-181640,-2323503,976.6681495
149,-181024,-2322426,981.1863864
150,-181293,-2322517,978.1333276
151,-181846,-2322384,976.2264427
152,-181659,-2322399,976.9291507
153,-182232,-2322196,978.8865364
154,-182661,-2322455,975.6160935
155,-183111,-2322577,978.5315566
156,-183422,-2322575,978.9763488
157,-182992,-2322924,973.3817126
158,-182667,-2322950,971.2471342
159,-182474,-2322988,970.1348014
160,-182359,-2323087,968.9589745
161,-184541,-2322779,980.9993628
162,-184653,-2323153,978.3446252
163,-184700,-2323442,976.6013984
164,-184758,-2323865,981.5834217
165,-184692,-2323037,978.5906982
166,-184786,-2324110,984.1198308
167,-184719,-2324093,983.5090238
168,-184216,-2322287,986.0368756
169,-184313,-2322167,989.4031426
170,-184308,-2324171,981.549575
171,-184176,-2323528,972.5540802
172,-181748,-2322909,969.3504429
173,-181923,-2323368,970.6069978
174,-182092,-2323648,975.0173614
175,-182864,-2323069,971.3030834
176,-182924,-2323312,971.4952923
177,-183253,-2323331,971.5450818
178,-181947,-2323051,968.4281995
179,-181969,-2322600,971.8570539
180,-181562,-2322924,969.8588296
181,-181074,-2322332,982.0647689
182,-180991,-2322834,978.5277515
183,-180987,-2323306,983.0404255
184,-183217,-2323289,972.7530679
185,-182879,-2323676,968.1543134
186,-181733,-2322708,970.613497
187,-181361,-2322760,973.2524967
188,-181165,-2322865,975.0813537
189,-181886,-2322899,969.2945733
