OBJECTID,X,Y,Z
1,-185319,-2324940,987.9500393
2,-185074,-2324893,985.892418
3,-184898,-2324941,983.5253875
4,-184684,-2324825,982.148455
5,-184445,-2324844,980.8785557
6,-184230,-2324861,980.4354064
7,-184108,-2324838,980.836963
8,-183854,-2324825,981.428574
9,-185353,-2325368,984.0309238
10,-185417,-2326025,981.8785324
11,-185454,-2326485,985.8639399
12,-185436,-2326718,987.1811512
13,-185447,-2326850,988.3469186
14,-185443,-2326949,988.8067772
15,-185395,-2326953,988.3538177
16,-185335,-2326958,987.838071
17,-185287,-2326962,987.4891948
18,-185225,-2326934,986.9415919
19,-185108,-2326976,986.2089741
20,-184969,-2327053,985.9669916
21,-185129,-2326941,986.0980203
22,-185289,-2324711,989.0495748
23,-185219,-2324749,988.3897775
24,-185148,-2324755,986.9453901
25,-184980,-2324768,985.0308958
26,-184861,-2324778,983.6577734
27,-184789,-2324784,983.0551463
28,-184658,-2324794,982.1606224
29,-184586,-2324800,982.0631168
30,-184497,-2324741,982.0560739
31,-184399,-2324715,981.6522791
32,-184342,-2324753,981.3708072
33,-184210,-2324763,981.2951009
34,-184031,-2324778,981.3634023
35,-183971,-2324782,981.3645583
36,-183816,-2324795,981.947373
37,-183744,-2324800,982.1145299
38,-183660,-2324807,982.2352355
39,-183550,-2324783,981.8506711
40,-183442,-2324791,981.9817978
41,-183311,-2324801,982.6262429
42,-183239,-2324807,982.5105912
43,-183186,-2324745,982.2198978
44,-183079,-2324753,982.3325542
45,-183007,-2324759,982.5705416
46,-182885,-2324736,982.1251622
47,-182789,-2324743,982.7134098
48,-182729,-2324748,982.6269409
49,-182696,-2324784,982.5979035
50,-182651,-2324820,982.845521
51,-182591,-2324825,982.9044995
52,-182543,-2324829,983.439707
53,-182571,-2325025,983.0782377
54,-182586,-2325222,982.6182413
55,-182597,-2325354,982.3291694
56,-185010,-2326951,985.233796
57,-184818,-2326966,984.1939883
58,-184761,-2327004,984.2206681
59,-184639,-2326980,983.5275117
60,-184510,-2327024,984.1092527
61,-184366,-2327035,984.5157791
62,-184270,-2327043,984.7518315
63,-184127,-2327054,985.5686766
64,-184210,-2327047,985.2321108
65,-184079,-2327058,985.9249694
66,-183923,-2327070,986.2665793
67,-183914,-2327104,986.740487
68,-183866,-2327108,986.7144501
69,-183753,-2327050,986.2464347
70,-183655,-2327025,985.249426
71,-183607,-2327029,985.335354
72,-183547,-2327034,985.511009
73,-183461,-2327007,986.4127242
74,-183401,-2327012,987.1917011
75,-183353,-2327016,987.568263
76,-183305,-2327020,987.5837779
77,-183248,-2327057,987.3337633
78,-183212,-2327060,987.6467159
79,-183131,-2327099,988.269342
80,-183033,-2327074,989.8596601
81,-182985,-2327078,989.6664603
82,-182913,-2327083,990.5156818
83,-182832,-2327123,991.1094234
84,-182591,-2325586,981.6764237
85,-182597,-2325817,983.054119
86,-182607,-2325949,984.2111534
87,-182615,-2326048,985.4229066
88,-182628,-2326212,987.6821343
89,-182650,-2326343,989.440373
90,-182661,-2326474,990.9795215
91,-182668,-2326573,991.659515
92,-182664,-2326673,992.3203125
93,-182672,-2326771,992.6652496
94,-182680,-2326870,992.4399035
95,-182687,-2326969,992.4257333
96,-182692,-2327035,992.4719611
97,-182691,-2327167,992.6651157
98,-182760,-2327129,991.8364256
99,-182784,-2327127,991.7812703
100,-185202,-2324983,986.2685548
101,-185043,-2324797,985.2785281
102,-185079,-2324794,985.5725437
103,-185126,-2325088,984.1417232
104,-185190,-2325281,981.549837
105,-185201,-2325578,979.768926
106,-185034,-2325294,977.0858809
107,-185115,-2325254,978.4347876
108,-185128,-2325419,978.6015714
109,-185141,-2325583,978.0711189
110,-185279,-2325804,980.2905834
111,-185265,-2325474,981.6513484
112,-185259,-2325243,983.4673006
113,-185234,-2325079,984.9045657
114,-185250,-2324979,986.7236304
115,-185141,-2325120,983.4668711
116,-185400,-2325662,982.7630488
117,-185319,-2325701,980.9984624
118,-184908,-2325072,981.7654445
119,-185061,-2325027,984.8235153
120,-184980,-2325066,983.195003
121,-184961,-2325134,982.1933882
122,-184907,-2325205,979.454539
123,-184823,-2325211,978.446376
124,-184702,-2325055,979.3946977
125,-184795,-2325015,981.3674431
126,-184722,-2325153,978.4866006
127,-184629,-2325194,977.0789561
128,-184560,-2325232,976.5404078
129,-184492,-2325138,977.2274854
130,-184572,-2324933,980.3117345
131,-184566,-2325000,979.2566315
132,-184576,-2325132,977.9307111
133,-184594,-2325362,975.2579611
134,-184588,-2325429,974.6212672
135,-184377,-2325346,975.032521
136,-184455,-2324976,979.4099728
137,-184408,-2324979,979.2761346
138,-184372,-2324982,979.1362369
139,-184365,-2325049,978.2888781
140,-184409,-2325145,977.1065967
141,-184479,-2325272,975.80647
142,-184727,-2325517,972.8454064
143,-184875,-2325406,975.5184962
144,-184925,-2325435,974.0249239
145,-185005,-2325528,975.4895814
146,-185092,-2325719,976.9502466
147,-185257,-2325971,979.8594093
148,-185257,-2325971,979.8594093
149,-185284,-2326168,980.5591678
150,-185281,-2326433,982.9441591
151,-185371,-2326657,985.7882963
152,-185247,-2326601,984.2332119
153,-185170,-2326541,982.2999733
154,-185104,-2326480,980.7431651
155,-185107,-2326215,978.9627674
156,-185124,-2326114,978.6034179
157,-185110,-2325950,977.9886368
158,-184991,-2325959,976.0460051
159,-184874,-2326002,975.0191853
160,-184740,-2325979,973.5285288
161,-184339,-2325779,971.796875
162,-184124,-2325498,972.7038
163,-184151,-2325231,976.3579828
164,-184246,-2325058,977.884398
165,-183860,-2325354,976.4167899
166,-184174,-2325064,978.2253895
167,-183876,-2325253,977.4397367
168,-183937,-2325116,978.5252619
169,-184037,-2325009,979.4259777
170,-184056,-2325404,974.882986
171,-183848,-2325355,976.5349155
172,-183688,-2325467,976.5451949
173,-183758,-2325130,978.7629323
174,-183555,-2325146,979.6754664
175,-183335,-2325263,979.1700596
176,-183049,-2325451,979.1686559
177,-182894,-2325463,980.2320619
178,-183863,-2325850,976.0137933
179,-184510,-2325964,970.9085387
180,-184686,-2325752,965.693417
181,-184814,-2325708,969.1082329
182,-184805,-2326040,975.5856951
183,-184541,-2325896,969.9872587
184,-184374,-2326074,973.5279042
185,-184073,-2326065,975.7745777
186,-183855,-2326049,978.0137582
187,-183772,-2326221,980.584444
188,-183155,-2325575,978.6527728
189,-183066,-2325814,979.5795394
190,-183410,-2326051,980.3088579
191,-183561,-2325841,977.7048641
192,-183824,-2325820,975.9473334
193,-184290,-2325618,972.5687028
194,-184332,-2325548,972.5194647
195,-184332,-2325548,972.5194647
196,-184332,-2325548,972.5194647
197,-184332,-2325548,972.5194647
198,-184144,-2325596,973.5446383
199,-184089,-2325965,975.131682
200,-184278,-2326380,977.0596213
201,-183017,-2325995,981.0108566
202,-183288,-2325868,979.1246993
203,-183538,-2325637,977.2186418
204,-183767,-2325619,976.0770783
205,-184518,-2325735,970.5203261
206,-184681,-2325863,971.4062981
207,-184644,-2326042,973.0808905
208,-184638,-2326288,975.9757934
209,-184638,-2326288,975.9757934
210,-184844,-2326307,977.334394
211,-184854,-2326588,980.423144
212,-184536,-2326613,980.077914
213,-184305,-2326596,980.076845
214,-183274,-2325693,978.4663368
215,-183299,-2325515,978.2552124
216,-183056,-2325851,979.7937734
217,-182936,-2325298,980.3775385
218,-183111,-2325249,979.6518459
219,-184285,-2325543,972.8501494
220,-184237,-2325898,972.7064298
221,-184139,-2326117,975.6874356
222,-183598,-2325914,978.0019927
223,-183547,-2326234,981.8210382
224,-183277,-2326537,986.003646
225,-184044,-2326371,979.5008875
226,-184601,-2325658,969.0924945
227,-184866,-2325778,973.2679127
228,-185081,-2325902,977.1386578
229,-185018,-2326082,977.3448607
230,-184865,-2325919,974.753977
231,-184984,-2326296,978.4895547
232,-184997,-2326612,981.1188612
233,-184981,-2326261,978.1466228
234,-183889,-2325222,977.5390559
235,-183796,-2325335,976.9264465
236,-183897,-2325644,974.8418651
237,-183973,-2325638,974.2394074
238,-184325,-2325891,972.1455419
239,-183434,-2326102,980.7368094
240,-183650,-2325593,976.5403605
241,-183730,-2325798,976.5319468
242,-183731,-2325973,977.7373947
243,-183721,-2326326,981.8296205
244,-183836,-2326493,982.2227637
245,-184005,-2326690,981.7595964
246,-183735,-2326184,980.1277336
247,-183801,-2326531,982.7485279
248,-183915,-2326522,982.129079
249,-183839,-2326528,982.6595197
250,-183730,-2326607,982.5053134
251,-183453,-2325855,978.335063
252,-183472,-2326099,980.5160674
253,-183567,-2326655,984.3232146
254,-183394,-2326563,985.2502964
255,-183500,-2326449,984.2223756
256,-183398,-2326457,984.6088925
257,-183366,-2326530,985.2385066
258,-183255,-2326257,983.6908093
259,-183146,-2326336,985.1711491
260,-182975,-2326279,985.0967893
261,-183130,-2326619,987.6565161
262,-182879,-2326357,987.0476984
263,-183015,-2326628,988.5114369
264,-182916,-2326671,989.592501
265,-182830,-2326713,990.834443
266,-182781,-2326083,983.8526896
267,-182868,-2325725,980.2189592
268,-182908,-2325265,980.5901918
269,-182799,-2325343,981.0059238
270,-182749,-2325031,981.8970321
271,-183143,-2325000,981.4189034
272,-183534,-2324934,981.5293155
273,-183747,-2324882,981.3455945
274,-184220,-2325372,973.8272732
275,-184560,-2325943,970.5667486
276,-184660,-2326076,973.6182097
277,-184606,-2326361,976.8099017
278,-184744,-2326491,979.2307601
279,-184748,-2326702,981.527765
280,-184633,-2326711,981.6485889
281,-184352,-2326065,973.6009076
282,-184420,-2326271,975.4064109
283,-184247,-2326355,977.2268958
284,-184101,-2326612,981.4757742
285,-184179,-2326465,979.3213561
286,-183955,-2326061,977.3587033
287,-183910,-2326135,978.5507674
288,-183486,-2325465,977.3717142
289,-183309,-2325163,979.6820515
290,-183501,-2325007,981.1798259
291,-183182,-2325173,980.0112606
292,-182963,-2325155,980.4902553
293,-182849,-2325164,980.8613773
294,-182915,-2325194,980.5306638
295,-182982,-2325716,979.6374143
296,-183186,-2325876,979.7128888
297,-183262,-2326186,982.6450612
298,-183076,-2326095,982.0384171
299,-182872,-2326111,983.2319389
300,-183029,-2325994,980.9932243
301,-183548,-2326410,983.6945428
302,-183679,-2326611,982.5702726
303,-183858,-2326772,982.8919134
304,-184077,-2326790,982.8093801
305,-184344,-2326769,981.9155806
306,-184140,-2325484,972.8708469
307,-184244,-2325827,972.2462752
308,-184360,-2326170,974.0949086
309,-184500,-2326159,973.8847489
310,-184383,-2325324,975.3276766
311,-184474,-2325352,974.9986612
312,-184439,-2325706,970.9925631
313,-184466,-2326372,977.0511711
314,-184373,-2326485,978.7540693
315,-184412,-2326658,980.2305447
316,-183663,-2326084,979.3493514
317,-183442,-2325715,977.8015287
318,-183115,-2325776,979.3884601
319,-182912,-2325968,981.4556348
320,-182801,-2325695,980.7236789
321,-182809,-2326116,984.0052234
322,-183081,-2326482,986.9094261
323,-183093,-2326797,988.2108332
324,-183230,-2326751,986.9521581
325,-183356,-2325757,978.1975919
326,-183307,-2326112,981.5355049
327,-183045,-2326027,981.3280239
328,-183432,-2325258,978.9642743
329,-183495,-2325253,978.7522816
330,-183603,-2325491,977.0717358
331,-183763,-2325725,976.0906501
332,-183928,-2326204,979.0836301
333,-184043,-2326195,977.5200377
334,-184094,-2325874,974.6354442
335,-184187,-2326078,974.6833332
336,-184016,-2325529,974.1759307
337,-184494,-2325596,970.9341445
338,-184684,-2325581,971.1593224
339,-184817,-2325325,976.9284906
340,-184988,-2325698,974.7497235
341,-185030,-2325906,976.3099349
342,-185049,-2326150,978.0427946
343,-185082,-2326394,980.0473915
344,-185101,-2326639,982.5745332
345,-184912,-2326196,976.7993053
346,-184856,-2326447,979.0395047
347,-184752,-2325787,971.1879546
348,-184581,-2325730,968.6750947
349,-184325,-2325891,972.1455419
350,-184249,-2326214,975.9437668
351,-184209,-2326041,974.0830396
352,-184033,-2325914,975.4179211
353,-182741,-2325418,981.250296
354,-182643,-2325637,981.7408934
355,-182683,-2325810,982.3507581
356,-182707,-2326124,985.3595042
357,-182729,-2326404,989.2835323
358,-182696,-2325492,981.4231823
359,-182678,-2325107,982.0619697
360,-182665,-2324932,982.5961671
361,-182719,-2325139,981.6462423
362,-182942,-2325051,981.1158105
363,-183031,-2325044,981.0422109
364,-183209,-2325030,981.2759886
365,-183323,-2325021,980.8437136
366,-183425,-2325013,980.7846041
367,-183669,-2325029,980.4008954
368,-183648,-2325241,977.8410109
369,-183614,-2326756,984.7445079
370,-183461,-2326768,985.1817879
371,-183296,-2326781,986.6999855
372,-182838,-2326817,991.2244197
373,-182925,-2326459,987.8705632
374,-183619,-2326334,982.5479855
375,-184535,-2326754,981.7394441
376,-184992,-2326718,982.5243286
377,-184881,-2326762,982.1352068
378,-184709,-2326212,976.0577532
379,-184557,-2326225,974.8703957
380,-184796,-2326346,977.5211931
381,-184881,-2325636,969.5070012
382,-184747,-2325401,974.8890228
383,-184918,-2325950,975.0348266
384,-184443,-2326726,981.5948991
385,-184229,-2326778,982.8500166
386,-184110,-2326717,981.8449904
387,-184131,-2325696,973.6305519
388,-184384,-2325500,973.0546713
389,-184435,-2325988,972.1381757
390,-184710,-2325263,977.0633896
391,-184668,-2325372,975.747273
392,-184256,-2325334,973.9960431
393,-184287,-2325085,977.7375703
394,-184041,-2325210,976.6538906
395,-183933,-2325289,976.53471
396,-183943,-2325746,974.7801152
397,-183105,-2325495,978.8856706
398,-183276,-2325236,979.5342
399,-183218,-2325310,979.1057808
400,-183173,-2325384,978.9343867
401,-183197,-2325523,978.5289248
402,-183342,-2325582,978.1376273
403,-183382,-2325438,977.9923937
404,-183529,-2325849,977.9330312
405,-183553,-2325987,978.9026714
406,-183335,-2326145,981.8325422
407,-183382,-2326247,982.8519318
408,-183339,-2326356,984.1631382
409,-183185,-2326016,980.789549
410,-183163,-2326229,983.5507791
411,-183177,-2326404,985.6421664
412,-182987,-2326102,982.4511935
413,-182771,-2325803,981.3327266
414,-183784,-2326321,981.5116753
415,-183832,-2326282,980.4296828
416,-184406,-2325779,971.3439255
417,-185389,-2326405,984.0496649
418,-185383,-2326159,982.026855
419,-185280,-2326800,986.3525034
420,-185169,-2326844,985.753674
421,-185214,-2326770,985.3896653
422,-185074,-2326781,983.922892
423,-185357,-2325844,981.452311
424,-184899,-2326830,983.1416739
425,-184820,-2326802,982.2410711
426,-184703,-2326776,982.2230575
427,-184677,-2326778,982.3193761
428,-184546,-2326894,982.9704006
429,-184454,-2326866,982.9867289
430,-184390,-2326871,983.7613656
431,-184156,-2326819,983.1676892
432,-184063,-2326932,985.2069782
433,-183872,-2326947,986.1686331
434,-183971,-2326904,984.5347172
435,-183767,-2326920,984.4190205
436,-183686,-2326856,984.5199329
437,-182773,-2326963,991.7550805
438,-182958,-2326878,989.6567112
439,-182769,-2326753,991.640326
440,-182804,-2326539,989.8214807
441,-182769,-2326260,986.6384417
442,-183005,-2326171,983.2011549
443,-183057,-2326343,985.5643545
444,-183441,-2326348,983.44863
445,-183489,-2326801,985.2546486
446,-183337,-2326813,986.4326968
447,-183622,-2326369,982.8861014
448,-183095,-2326832,988.0110885
449,-183019,-2326838,989.0760032
450,-182942,-2326352,986.4470343
451,-183983,-2326411,980.4131389
452,-183603,-2326300,982.3610819
453,-183182,-2326790,987.383401
454,-183685,-2325872,977.3289262
455,-183948,-2326132,978.2192662
456,-184329,-2326102,974.218341
457,-185216,-2326313,980.7696908
458,-185191,-2325998,979.1517609
459,-185194,-2325717,978.8475298
460,-185096,-2326252,979.1244771
461,-182896,-2325758,980.2807967
462,-183734,-2325199,978.312654
463,-183771,-2325830,976.3250048
464,-183577,-2326126,980.3000787
465,-184165,-2326291,977.5268093
466,-184351,-2325889,972.0412124
467,-184188,-2325937,973.4403068
468,-184037,-2326442,980.375956
469,-184449,-2326479,978.3857238
470,-184555,-2326365,976.5390981
471,-184807,-2325994,975.0576971
472,-184760,-2326208,975.1127136
473,-184487,-2326160,973.8121213
474,-184160,-2326221,976.8110432
475,-184158,-2325553,973.4624688
476,-183719,-2325658,976.3500662
477,-183856,-2325295,977.201638
478,-183837,-2325051,979.5637086
479,-183943,-2324937,980.26769
480,-183614,-2325139,979.3422922
481,-183474,-2325150,979.888755
482,-182894,-2325090,980.9800929
483,-182810,-2324991,981.7694719
484,-183463,-2325326,978.205467
485,-183940,-2325711,974.6812683
486,-184085,-2326086,975.9537217
487,-184368,-2326591,979.713611
488,-184683,-2326531,979.5092609
489,-184993,-2326084,976.9402028
490,-184054,-2326335,978.990992
491,-182919,-2326213,984.5353437
492,-182732,-2325947,982.8653228
493,-183566,-2325670,977.1329393
494,-183718,-2325482,976.426612
495,-183749,-2326042,978.3806817
496,-183664,-2326260,981.3608866
497,-183658,-2326507,983.5068393
498,-183079,-2325814,979.4676177
499,-182904,-2326355,986.7943403
500,-182860,-2326605,989.645745
501,-182844,-2326078,983.1219468
502,-182744,-2325453,981.2193397
503,-183581,-2326020,979.093973
504,-183756,-2325971,977.6577561
505,-184224,-2326708,981.4338244
506,-184971,-2326614,980.9895762
507,-185321,-2326515,984.351881
508,-185291,-2325814,980.4580584
509,-185199,-2325294,980.7926263
510,-185007,-2325134,982.6458457
511,-184612,-2324989,979.6434787
512,-184743,-2324873,981.936489
513,-183808,-2324842,981.5967861
514,-183595,-2324894,981.7989395
515,-184335,-2326172,974.7488126
516,-184170,-2326677,981.1573103
517,-183545,-2326691,984.655419
518,-183230,-2326751,986.9521581
519,-183014,-2326768,988.9863927
520,-182912,-2326776,990.0523219
521,-182843,-2326712,990.7507385
522,-182737,-2325524,981.0721967
523,-184005,-2325881,975.2882884
524,-184049,-2325632,973.5610469
525,-183904,-2325573,974.8482423
526,-183822,-2325509,975.8114304
527,-184003,-2325530,974.2240368
528,-184666,-2325512,973.126496
529,-184756,-2325998,974.107021
530,-184150,-2326257,977.3181872
531,-183322,-2325971,979.9363074
532,-182994,-2325539,979.1839205
533,-182743,-2325278,981.2665704
534,-182777,-2325064,981.6908726
535,-183065,-2325147,980.695244
536,-183020,-2325221,980.2806
537,-183810,-2325193,978.2074682
538,-184304,-2325295,975.0826804
539,-183360,-2326460,984.8065852
540,-183364,-2326671,985.9564155
541,-184500,-2326159,973.8847489
542,-184591,-2326011,972.3395873
543,-184901,-2326373,978.5064974
544,-185190,-2326315,980.4504907
545,-185077,-2325691,976.6394124
546,-184981,-2325452,973.6552048
547,-184970,-2325312,977.1120306
548,-184787,-2325749,970.051534
549,-184196,-2325866,973.080197
550,-183214,-2325909,979.8626869
551,-182892,-2326356,986.9373153
552,-182740,-2326544,990.6336897
553,-182716,-2326405,989.4044275
554,-183131,-2326478,986.6307514
555,-183160,-2326511,986.7213025
556,-183616,-2325490,976.9898974
557,-183616,-2325490,976.9898974
558,-183560,-2325424,977.2750246
559,-182926,-2325650,979.787765
560,-183001,-2325961,980.8388681
561,-183183,-2326157,982.4610138
562,-184010,-2326584,980.8229077
563,-184255,-2326776,982.790099
564,-185276,-2325781,980.1884463
565,-185292,-2325990,980.2092856
566,-183959,-2326272,979.3581502
567,-184131,-2325696,973.6305519
568,-184314,-2326068,973.8595018
569,-184386,-2326168,973.5504929
570,-184437,-2326164,973.0782149
571,-184488,-2325527,972.4455348
572,-184450,-2325530,972.4628219
573,-183682,-2325837,977.1998895
574,-183457,-2325573,977.3302029
575,-183765,-2326076,978.6518951
576,-183149,-2326371,985.5126493
577,-183030,-2326486,987.1647061
578,-182913,-2326460,988.0107032
579,-182825,-2325341,980.8672199
580,-182801,-2325695,980.7236789
581,-182792,-2325414,980.8793815
582,-182800,-2325519,980.5867913
583,-182808,-2325941,982.1516813
584,-182987,-2324801,982.4033688
585,-184017,-2325388,975.2141857
586,-184089,-2325171,977.1241197
587,-184094,-2325065,978.3077527
588,-184282,-2325508,973.049583
589,-184127,-2325801,973.9342632
