OBJECTID,X,Y,Z
1,-184435,-2322675,979.0753829
2,-182482,-2321952,977.5600927
3,-182628,-2321940,977.9301251
4,-182945,-2321915,978.539215
5,-183361,-2321905,980.7228129
6,-183840,-2321867,984.8828038
7,-184207,-2321861,985.5685762
8,-184340,-2321895,985.4994379
9,-184486,-2321883,984.7896926
10,-184558,-2321968,986.3272447
11,-184626,-2321895,983.8639624
12,-184668,-2322116,986.8013736
13,-184704,-2322361,984.3628415
14,-184720,-2322562,980.8694093
15,-184732,-2322719,980.3221524
16,-184767,-2322941,977.3259284
17,-184804,-2323208,976.475419
18,-184740,-2323124,977.68135
19,-184754,-2323302,977.5986742
20,-184775,-2323458,973.9005752
21,-184786,-2323593,977.2861457
22,-184808,-2323771,979.7254851
23,-184816,-2323770,979.614643
24,-184814,-2323950,981.5749433
25,-184845,-2324241,983.4163916
26,-184762,-2324225,982.4911147
27,-184626,-2324258,981.2376957
28,-184439,-2324273,980.3459967
29,-184021,-2324261,979.4369089
30,-183711,-2324376,980.3638536
31,-183287,-2324387,977.9819503
32,-182897,-2324417,974.7028318
33,-182504,-2324516,979.3606632
34,-182199,-2324494,983.4880804
35,-181902,-2324563,987.4257016
36,-181653,-2324515,991.8825701
37,-181417,-2324533,991.4493987
38,-181207,-2324460,994.4016663
39,-182285,-2321945,977.8620777
40,-181983,-2321946,979.5655584
41,-181691,-2321969,980.9269121
42,-181368,-2322016,981.8870844
43,-181003,-2322045,982.7998669
44,-180913,-2322052,980.676828
45,-180945,-2322455,978.0668895
46,-180974,-2323037,977.3829812
47,-181019,-2323934,993.3534569
48,-181054,-2324381,996.0703343
49,-182764,-2321907,977.298732
50,-182360,-2321961,977.4681722
51,-184449,-2322134,987.8906077
52,-184603,-2322324,986.791418
53,-184615,-2322166,987.3915532
54,-184568,-2322192,987.2176888
55,-184637,-2322344,985.5330549
56,-184688,-2322565,981.1992191
57,-184633,-2322502,982.4285681
58,-184588,-2322438,984.7077282
59,-184534,-2322375,986.4230196
60,-184413,-2322294,985.3311385
61,-184459,-2321953,986.0768479
62,-184481,-2322019,987.1292933
63,-184501,-2322175,987.3863921
64,-184529,-2322015,987.2145858
65,-184481,-2322334,985.5087577
66,-184589,-2322663,979.8424551
67,-184628,-2322840,978.0016676
68,-184664,-2322679,979.8631115
69,-184704,-2322766,979.0515453
70,-184499,-2322558,981.7368927
71,-184391,-2322431,984.3042782
72,-184373,-2322207,987.3899681
73,-184326,-2322639,980.2465032
74,-184385,-2322049,986.9120596
75,-183937,-2322377,983.8834784
76,-184214,-2322265,986.6024193
77,-183616,-2322650,975.8335636
78,-183559,-2322655,975.1483708
79,-183255,-2322228,980.0825442
80,-183485,-2322233,980.4538618
81,-183692,-2322171,983.39449
82,-183781,-2322164,984.5158024
83,-184112,-2322521,981.7921112
84,-184206,-2322671,980.043969
85,-184260,-2323049,977.2433574
