OBJECTID,X,Y,Z
1,-185319,-2324940,986.8985353
2,-185074,-2324893,983.5136843
3,-184898,-2324941,981.1475854
4,-184684,-2324825,979.4663283
5,-184445,-2324844,977.9265456
6,-184230,-2324861,978.6985427
7,-184108,-2324838,978.1315359
8,-183854,-2324825,978.6876738
9,-185353,-2325368,984.8221304
10,-185417,-2326025,980.8431295
11,-185454,-2326485,984.3642257
12,-185436,-2326718,983.7646105
13,-185447,-2326850,985.3206968
14,-185443,-2326949,985.9693909
15,-185395,-2326953,985.3235946
16,-185335,-2326958,984.4114314
17,-185287,-2326962,983.9477078
18,-185225,-2326934,982.6667312
19,-185108,-2326976,982.0032414
21,-185129,-2326941,982.2214589
22,-185289,-2324711,986.6832586
23,-185219,-2324749,986.0815109
24,-185148,-2324755,985.4455943
25,-184980,-2324768,983.3738019
26,-184861,-2324778,980.733171
27,-184789,-2324784,980.5004022
28,-184658,-2324794,979.6371405
29,-184586,-2324800,978.9925075
30,-184497,-2324741,979.1631286
31,-184399,-2324715,979.3259833
32,-184342,-2324753,979.7406062
33,-184210,-2324763,979.5085723
34,-184031,-2324778,979.1767398
35,-183971,-2324782,979.3048662
36,-183816,-2324795,979.0545159
37,-183744,-2324800,979.5046592
38,-183660,-2324807,979.2946424
39,-183550,-2324783,978.6596609
40,-183442,-2324791,978.5539652
41,-183311,-2324801,978.5649355
42,-183239,-2324807,978.6373729
43,-183186,-2324745,977.62941
44,-183079,-2324753,978.3324498
45,-183007,-2324759,979.1589561
46,-182885,-2324736,977.4221489
47,-182789,-2324743,978.6907876
48,-182729,-2324748,978.9988501
49,-182696,-2324784,979.3938889
50,-182651,-2324820,979.5675778
51,-182591,-2324825,979.639346
52,-182543,-2324829,979.5557437
53,-182571,-2325025,979.2517391
54,-182586,-2325222,978.4413637
55,-182597,-2325354,977.8415448
56,-185010,-2326951,980.7924857
57,-184818,-2326966,980.3786107
58,-184761,-2327004,980.1097202
59,-184639,-2326980,979.2785764
60,-184510,-2327024,980.2761688
61,-184366,-2327035,980.6911719
62,-184270,-2327043,980.6171875
63,-184127,-2327054,980.960882
64,-184210,-2327047,979.9746155
65,-184079,-2327058,981.322033
66,-183923,-2327070,981.5579499
67,-183914,-2327104,981.8276055
69,-183753,-2327050,981.5409761
70,-183655,-2327025,982.0746183
71,-183607,-2327029,982.5077352
72,-183547,-2327034,982.7111828
73,-183461,-2327007,982.5335013
74,-183401,-2327012,982.2501662
75,-183353,-2327016,982.3089065
76,-183305,-2327020,981.8042196
77,-183248,-2327057,982.9393844
78,-183212,-2327060,983.4843694
79,-183131,-2327099,984.6160146
80,-183033,-2327074,985.6862652
81,-182985,-2327078,984.7210617
82,-182913,-2327083,986.2422438
83,-182832,-2327123,987.1048598
84,-182591,-2325586,977.8477447
85,-182597,-2325817,979.505853
86,-182607,-2325949,980.2112805
87,-182615,-2326048,981.3292733
88,-182628,-2326212,983.3201251
89,-182650,-2326343,984.4433316
90,-182661,-2326474,986.1567853
91,-182668,-2326573,987.0889137
92,-182664,-2326673,987.8525442
93,-182672,-2326771,988.4115686
94,-182680,-2326870,988.5181876
95,-182687,-2326969,987.7538037
96,-182692,-2327035,988.8328992
97,-182691,-2327167,989.3057494
98,-182760,-2327129,987.4269338
99,-182784,-2327127,987.7267378
100,-185202,-2324983,985.0756806
101,-185043,-2324797,984.1116591
102,-185079,-2324794,984.3740023
103,-185126,-2325088,982.6610513
104,-185190,-2325281,982.4085603
105,-185201,-2325578,979.4858972
106,-185034,-2325294,978.5173934
107,-185115,-2325254,980.2809979
108,-185128,-2325419,979.959541
109,-185141,-2325583,978.6179987
110,-185279,-2325804,978.2824193
111,-185265,-2325474,981.4307904
112,-185259,-2325243,984.9114063
113,-185234,-2325079,984.9395495
114,-185250,-2324979,985.6763007
115,-185141,-2325120,982.6526051
116,-185400,-2325662,981.5586751
117,-185319,-2325701,979.6315566
118,-184908,-2325072,980.1944946
119,-185061,-2325027,982.1321115
120,-184980,-2325066,980.645066
121,-184961,-2325134,978.996248
122,-184907,-2325205,978.0585492
123,-184823,-2325211,976.6128839
124,-184702,-2325055,976.6617495
125,-184795,-2325015,979.2400368
126,-184722,-2325153,976.4917152
127,-184629,-2325194,973.9921232
128,-184560,-2325232,972.877951
129,-184492,-2325138,974.5022125
130,-184572,-2324933,977.7488462
131,-184566,-2325000,977.0064449
132,-184576,-2325132,974.8407704
133,-184594,-2325362,972.3794009
134,-184588,-2325429,971.4348156
135,-184377,-2325346,971.3051819
136,-184455,-2324976,977.248442
137,-184408,-2324979,976.9454503
138,-184372,-2324982,976.390114
139,-184365,-2325049,975.8971972
140,-184409,-2325145,974.9163409
141,-184479,-2325272,972.4135557
142,-184727,-2325517,972.8459162
143,-184875,-2325406,974.113072
144,-184925,-2325435,974.6945982
145,-185005,-2325528,975.5473593
146,-185092,-2325719,976.5139953
147,-185257,-2325971,977.9065223
148,-185257,-2325971,977.9065223
149,-185284,-2326168,979.3511396
