OBJECTID,X,Y,Z
1,-185319,-2324940,986.6783994
2,-185074,-2324893,983.6437785
3,-184898,-2324941,981.0978769
4,-184684,-2324825,979.7706782
5,-184445,-2324844,978.7585216
6,-184230,-2324861,978.9021327
7,-184108,-2324838,979.23717
8,-183854,-2324825,979.6801481
9,-185353,-2325368,985.0357248
10,-185417,-2326025,981.5949429
11,-185454,-2326485,985.0367576
12,-185436,-2326718,984.855865
13,-185447,-2326850,985.8859995
14,-185443,-2326949,986.5958734
15,-185395,-2326953,986.3058403
16,-185335,-2326958,985.5557733
17,-185287,-2326962,984.875161
18,-185225,-2326934,983.802156
19,-185108,-2326976,982.925558
20,-184969,-2327053,982.4803974
21,-185129,-2326941,982.8637796
22,-185289,-2324711,986.6834547
23,-185219,-2324749,986.4442679
24,-185148,-2324755,985.6142032
25,-184980,-2324768,983.5015523
26,-184861,-2324778,981.241959
27,-184789,-2324784,980.5080546
28,-184658,-2324794,980.0966432
29,-184586,-2324800,979.4369359
30,-184497,-2324741,979.6500249
31,-184399,-2324715,979.2720835
32,-184342,-2324753,979.3807293
33,-184210,-2324763,979.7431901
34,-184031,-2324778,979.4436474
35,-183971,-2324782,979.6587427
36,-183816,-2324795,979.7098239
37,-183744,-2324800,979.9030967
38,-183660,-2324807,979.8973694
39,-183550,-2324783,979.7314971
40,-183442,-2324791,979.2392833
41,-183311,-2324801,978.5987004
42,-183239,-2324807,978.9926372
43,-183186,-2324745,979.340777
44,-183079,-2324753,979.3685587
45,-183007,-2324759,979.3972796
46,-182885,-2324736,978.7693897
47,-182789,-2324743,979.2068524
48,-182729,-2324748,979.6415148
49,-182696,-2324784,979.7758032
50,-182651,-2324820,980.2007907
51,-182591,-2324825,980.67244
52,-182543,-2324829,980.6471077
53,-182571,-2325025,980.085573
54,-182586,-2325222,979.4692108
55,-182597,-2325354,978.5986793
56,-185010,-2326951,982.2203569
57,-184818,-2326966,981.4260749
58,-184761,-2327004,981.4196242
59,-184639,-2326980,980.817609
60,-184510,-2327024,981.2255027
61,-184366,-2327035,981.9965489
62,-184270,-2327043,982.2373315
63,-184127,-2327054,982.5599728
64,-184210,-2327047,982.156695
65,-184079,-2327058,982.7020077
66,-183923,-2327070,983.3089082
67,-183914,-2327104,983.8730941
68,-183866,-2327108,983.8295751
69,-183753,-2327050,983.3394875
70,-183655,-2327025,983.7215928
71,-183607,-2327029,983.8557686
72,-183547,-2327034,983.8260204
73,-183461,-2327007,983.7341772
74,-183401,-2327012,983.6326168
75,-183353,-2327016,983.8534671
76,-183305,-2327020,983.7739929
77,-183248,-2327057,984.3249378
78,-183212,-2327060,984.5729081
79,-183131,-2327099,985.474277
80,-183033,-2327074,987.5584162
81,-182985,-2327078,987.185282
82,-182913,-2327083,987.8203708
83,-182832,-2327123,988.3289105
84,-182591,-2325586,979.06951
85,-182597,-2325817,980.4783676
86,-182607,-2325949,981.5755608
87,-182615,-2326048,982.5140967
88,-182628,-2326212,984.4396574
89,-182650,-2326343,986.278635
90,-182661,-2326474,987.6106132
91,-182668,-2326573,988.5238894
92,-182664,-2326673,988.990034
93,-182672,-2326771,989.5036134
94,-182680,-2326870,990.0497709
95,-182687,-2326969,989.6635083
96,-182692,-2327035,990.4703318
97,-182691,-2327167,990.557419
98,-182760,-2327129,989.2499928
99,-182784,-2327127,989.0001576
100,-185202,-2324983,985.2539063
101,-185043,-2324797,984.2577036
102,-185079,-2324794,984.3231605
103,-185126,-2325088,983.4033911
104,-185190,-2325281,984.0843768
105,-185201,-2325578,979.6216517
106,-185034,-2325294,979.2040495
107,-185115,-2325254,980.7369793
108,-185128,-2325419,980.7670018
109,-185141,-2325583,979.4189987
110,-185279,-2325804,979.1806373
111,-185265,-2325474,981.8349192
112,-185259,-2325243,985.1817544
113,-185234,-2325079,984.7537303
114,-185250,-2324979,985.9110883
115,-185141,-2325120,982.777004
116,-185400,-2325662,981.8229421
117,-185319,-2325701,980.2402949
118,-184908,-2325072,980.8287872
119,-185061,-2325027,982.7458243
120,-184980,-2325066,980.7984537
121,-184961,-2325134,979.7517779
122,-184907,-2325205,978.0823503
123,-184823,-2325211,977.4147849
124,-184702,-2325055,977.739389
125,-184795,-2325015,979.6161567
126,-184722,-2325153,977.0629895
127,-184629,-2325194,975.6031148
128,-184560,-2325232,973.9060846
129,-184492,-2325138,975.2089583
130,-184572,-2324933,978.2825323
131,-184566,-2325000,977.4542975
132,-184576,-2325132,975.3715747
133,-184594,-2325362,973.6920679
134,-184588,-2325429,972.8776626
135,-184377,-2325346,972.6716095
136,-184455,-2324976,977.6899665
137,-184408,-2324979,977.6092299
138,-184372,-2324982,977.4632247
139,-184365,-2325049,976.4773755
140,-184409,-2325145,975.5689597
141,-184479,-2325272,972.7545677
142,-184727,-2325517,972.8314167
143,-184875,-2325406,974.6269399
144,-184925,-2325435,976.0643789
145,-185005,-2325528,976.5216234
146,-185092,-2325719,977.1265088
147,-185257,-2325971,979.0365925
148,-185257,-2325971,979.0365925
149,-185284,-2326168,980.1231842
150,-185281,-2326433,982.4842756
151,-185371,-2326657,984.4925358
152,-185247,-2326601,983.0948364
153,-185170,-2326541,981.4976784
154,-185104,-2326480,979.9051594
155,-185107,-2326215,977.8155782
156,-185124,-2326114,977.1663039
157,-185110,-2325950,976.5956615
158,-184991,-2325959,974.6282578
159,-184874,-2326002,973.9904504
160,-184740,-2325979,973.0004621
161,-184339,-2325779,971.2652455
162,-184124,-2325498,971.538811
163,-184151,-2325231,974.1362268
164,-184246,-2325058,976.0411635
165,-183860,-2325354,974.3900364
166,-184174,-2325064,976.0642906
167,-183876,-2325253,975.9802378
168,-183937,-2325116,976.9554292
169,-184037,-2325009,977.4961902
170,-184056,-2325404,973.3398222
171,-183848,-2325355,974.5700578
172,-183688,-2325467,974.2174161
173,-183758,-2325130,977.3282814
174,-183555,-2325146,977.6015281
175,-183335,-2325263,977.2200082
176,-183049,-2325451,975.6672269
177,-182894,-2325463,976.3015588
178,-183863,-2325850,973.5233107
179,-184510,-2325964,971.4743994
180,-184686,-2325752,971.2640161
181,-184814,-2325708,972.7207789
182,-184805,-2326040,974.4771255
183,-184541,-2325896,971.4727484
184,-184374,-2326074,973.0309818
185,-184073,-2326065,974.1117587
186,-183855,-2326049,975.0873547
187,-183772,-2326221,977.0675306
188,-183155,-2325575,975.1746764
189,-183066,-2325814,976.4221903
190,-183410,-2326051,976.2843425
191,-183561,-2325841,974.5703259
192,-183824,-2325820,974.0646804
193,-184290,-2325618,971.4195999
194,-184332,-2325548,970.3606792
195,-184332,-2325548,970.3606792
196,-184332,-2325548,970.3606792
197,-184332,-2325548,970.3606792
198,-184144,-2325596,971.4614768
199,-184089,-2325965,973.2264861
200,-184278,-2326380,975.6126113
