OID_,X,Y,Z
1,-184044.747699998319149,-2323449.159400001168251,971.276097665714815
2,-184008.550999999046326,-2323474.911899998784065,970.604858746929722
3,-183962.440900001674891,-2323501.448699999600649,970.360198192017378
4,-183933.782999999821186,-2323517.448800001293421,969.846207014895299
5,-183877.546000000089407,-2323563.093800000846386,969.161614397557969
6,-183788.982500001788139,-2323620.448600001633167,967.753304298889361
7,-183697.324200000613928,-2323659.736200001090765,967.645412672406223
8,-183638.562899999320507,-2323673.535000000149012,968.033149622062638
9,-183502.432799998670816,-2323739.213899999856949,968.500360407516268
10,-183345.607500001788139,-2323774.478000000119209,967.440910562527279
11,-183238.207199998199940,-2323782.949400000274181,967.069651887171972
12,-183072.258499998599291,-2323786.875100001692772,966.890000292987224
13,-182834.132899999618530,-2323718.660700000822544,966.079568707198177
14,-182542.747800000011921,-2323585.954599998891354,965.883896772906496
15,-182399.993900001049042,-2323482.743700001388788,965.525142797117496
16,-181858.282400000840425,-2323145.336399998515844,965.345792378586793
17,-181619.426100000739098,-2323045.028400000184774,965.561638348992687
18,-181514.986900001764297,-2322984.541499998420477,966.440761556128564
19,-181421.404500000178814,-2322914.049400001764297,967.735090825489806
20,-181377.750000000000000,-2322908.305199999362230,968.367583858989519
21,-181297.295299999415874,-2322942.045499999076128,969.358173869409939
22,-181298.128800000995398,-2322974.016699999570847,969.325264687604886
23,-181311.234600000083447,-2323014.183299999684095,969.168163842765125
24,-181353.841699998825788,-2323070.353599999099970,968.643873161296824
25,-181369.187100000679493,-2323096.615400001406670,968.576848328697452
26,-181448.617800001055002,-2323177.369100000709295,968.329933612994864
27,-181481.549800001084805,-2323215.986699998378754,968.133010090064658
28,-181558.269699998199940,-2323283.219300001859665,968.096050221037331
29,-181687.629000000655651,-2323364.640799999237061,968.365589268370513
30,-181747.940400000661612,-2323391.960799999535084,968.836626911893859
31,-181770.840399999171495,-2323408.476300001144409,969.153967247952096
32,-181796.688900001347065,-2323420.184099998325109,968.943652455913707
33,-181863.255399998277426,-2323442.435100000351667,968.957890080120251
34,-181942.327599998563528,-2323454.551600001752377,968.485807129461932
35,-181997.332100000232458,-2323477.704399999231100,968.614020711152989
36,-182069.215199999511242,-2323504.110300000756979,968.371464568967440
37,-182150.787200000137091,-2323548.061799999326468,968.399907153461527
38,-182192.578800000250340,-2323572.246199999004602,968.367180429913788
39,-182288.311700001358986,-2323605.929299999028444,967.653166549974685
40,-182323.629399999976158,-2323653.503699999302626,968.215018442598875
41,-182357.520500000566244,-2323682.882300000637770,968.624077382720316
42,-182400.387899998575449,-2323720.709600001573563,969.016461848267227
43,-182433.566700000315905,-2323740.989399999380112,969.181186584654938
44,-182480.098099999129772,-2323783.104800000786781,970.579164141854108
45,-182531.588300000876188,-2323824.829900000244379,969.261421841890865
46,-182621.442299999296665,-2323868.116500001400709,969.539703916307190
47,-182659.582199998199940,-2323888.003600001335144,970.041756825051607
48,-182740.242100000381470,-2323941.162700001150370,970.132816309460054
49,-182792.455800000578165,-2323991.980000000447035,970.631943045620574
50,-182831.094000000506639,-2324039.287399999797344,970.916001445765232
51,-182869.954399999231100,-2324068.268800001591444,970.702772331040592
52,-182884.964299999177456,-2324089.972699999809265,970.964161330292654
53,-182910.963700000196695,-2324124.542700000107288,971.312610209697596
54,-182906.859400000423193,-2324156.904800001531839,971.210674909134696
55,-182892.702100001275539,-2324167.172899998724461,971.429197265444259
56,-182894.712600000202656,-2324171.591699998825788,971.574571138754436
57,-182921.374600000679493,-2324151.185400001704693,970.957591506778954
58,-182959.962099999189377,-2324134.416999999433756,970.885045295575082
59,-183007.748100001364946,-2324107.769600000232458,970.369696131501996
60,-183037.713500000536442,-2324087.101700000464916,970.343555016277946
61,-183062.004200000315905,-2324057.726399999111891,969.699218868948265
62,-183070.266699999570847,-2324057.075599998235703,970.220443745181456
63,-183093.401799999177456,-2324055.252999998629093,970.350582802621716
64,-183123.146999999880791,-2324052.909499999135733,970.607308412669113
65,-183151.458200000226498,-2324032.370400000363588,970.313268835120084
66,-183245.867899999022484,-2324006.620000001043081,970.883924647109779
67,-183265.915300000458956,-2323986.730999998748302,970.891402303717086
68,-183273.818799998611212,-2323981.530699998140335,970.884290615063719
69,-183310.748900000005960,-2323964.886900000274181,970.960299091306297
70,-183334.458999998867512,-2323949.285399999469519,970.670065513742657
71,-183368.083399999886751,-2323932.901299998164177,970.753039723803113
72,-183373.040600001811981,-2323932.510200001299381,970.619444703249883
73,-183381.302799999713898,-2323931.858199998736382,970.626377633200946
74,-183442.442299999296665,-2323927.032900001853704,970.803865538049308
75,-183458.966400001198053,-2323925.728500001132488,970.557819090764269
76,-183493.667199999094009,-2323922.988800000399351,970.848388706494461
77,-183538.282299999147654,-2323919.465700000524521,971.210612804567745
78,-183543.239599999040365,-2323919.074099998921156,971.240542056622303
79,-183578.155299998819828,-2323898.007899999618530,971.155144560895678
80,-183600.570099998265505,-2323887.082899998873472,970.740630449999685
81,-183645.399099998176098,-2323865.232299998402596,970.247995080215787
82,-183702.727000001817942,-2323833.238600000739098,969.988992375919679
83,-183777.509599998593330,-2323790.708799999207258,969.915216853253014
84,-183838.138599999248981,-2323758.450399998575449,970.472651907185309
85,-183935.688099998980761,-2323709.536800000816584,971.700496876755551
86,-183951.490600001066923,-2323699.131700001657009,971.810156544801430
87,-183971.867499999701977,-2323578.513199999928474,970.522834129391185
88,-184008.997999999672174,-2323543.533199999481440,970.593698891182612
89,-184044.264299999922514,-2323527.008699998259544,971.154553040400401
90,-184106.024599999189377,-2323467.190400000661612,971.710762148101935
91,-184117.078600000590086,-2323438.851700000464916,971.288314870393492
92,-184102.780799999833107,-2323426.253299999982119,971.618123905571792
93,-184026.363800000399351,-2323468.923999998718500,970.807075939638935
94,-183913.237399999052286,-2323509.920899998396635,969.595672577969935
95,-183855.772999998182058,-2323519.045800000429153,969.017909886493158
96,-183823.875500001013279,-2323494.107000000774860,970.288919289402315
97,-183797.147799998521805,-2323450.450699999928474,969.488818493503004
98,-183778.681200001388788,-2323406.140700001269579,970.700448829015158
99,-183775.083299998193979,-2323360.654699999839067,970.777834964987733
100,-183772.204999998211861,-2323324.265900000929832,970.618259574891567
101,-183764.370799999684095,-2323288.269099999219179,970.792769542031692
102,-183739.657600000500679,-2323249.030299998819828,970.749379015559953
103,-183714.945199999958277,-2323209.791299998760223,971.024715245640209
104,-183689.367800001055002,-2323138.581399999558926,970.602653147790193
105,-183674.568199999630451,-2323098.558400001376867,971.120324620356314
106,-183624.867400001734495,-2323079.602400001138449,971.437156492452345
107,-183587.449000000953674,-2323068.828800000250340,970.938596848199040
108,-183570.640200000256300,-2323024.387200001627207,970.893112235859462
109,-183551.315999999642372,-2322948.105500001460314,971.760736638025264
110,-183533.001800000667572,-2322926.667700000107288,971.943839071150705
111,-183510.596599999815226,-2322937.591800000518560,971.966679622061633
112,-183467.366999998688698,-2323000.506999999284744,971.946602220095542
113,-183409.124800000339746,-2323041.721900001168251,971.497664552053720
