Year,X,Y,Type,Bands,Bin
2020,20200612,0.4088,7/29/22SigFile,"5,2",-1
2020,20200612,0.1013,Kmeans,"1,2,3,4",-1
2020,20200612,0.5684,Actual,"5,",-1
2020,20200612,0.5307000000000001,Kmeans,9,-1
2020,20200617,0.8710000000000001,Kmeans,9,-1
2020,20200617,0.3651,Kmeans,"1,2,3,4",-1
2020,20200617,0.1857,7/29/22SigFile,"5,2",-1
2020,20200617,0.6693,Actual,"5,",-1
2020,20200627,0.918,Kmeans,"1,2,3,4",-1
2020,20200627,1.3436,Actual,"5,",-1
2020,20200627,1.3004,Kmeans,9,-1
2020,20200627,1.4181,7/29/22SigFile,"5,2",-1
2020,20200705,0.8657,Kmeans,"1,2,3,4",-1
2020,20200705,1.0545,7/29/22SigFile,"5,2",-1
2020,20200705,1.7252,Actual,"5,",-1
2020,20200705,0.9357,Kmeans,9,-1
2020,20200717,1.327,7/29/22SigFile,"5,2",-1
2020,20200717,1.5631,Actual,"5,",-1
2020,20200717,1.4465,Kmeans,"1,2,3,4",-1
2020,20200717,1.5306,Kmeans,9,-1
2020,20200722,1.257,7/29/22SigFile,"5,2",-1
2020,20200722,1.2821,Kmeans,9,-1
2020,20200722,1.2384,Actual,"5,",-1
2020,20200722,1.2065,Kmeans,"1,2,3,4",-1
2020,20200730,0.7609,7/29/22SigFile,"5,2",-1
2020,20200730,0.6418,Kmeans,"1,2,3,4",-1
2020,20200730,0.9417,Actual,"5,",-1
2020,20200730,0.7597999999999999,Kmeans,9,-1
2020,20200811,0.5368,Kmeans,9,-1
2020,20200811,0.4281,Actual,"5,",-1
2020,20200811,0.3661,Kmeans,"1,2,3,4",-1
2020,20200811,0.3686,7/29/22SigFile,"5,2",-1
2020,20200821,0.1762,Kmeans,9,-1
2020,20200821,0.1352,7/29/22SigFile,"5,2",-1
2020,20200821,0.1337,Kmeans,"1,2,3,4",-1
2020,20200821,0.3718,Actual,"5,",-1
2021,20210602,0.624,Actual,"5,",-1
2021,20210602,0.0123,7/29/22SigFile,"5,2",-1
2021,20210610,0.2138,7/29/22SigFile,"5,2",-1
2021,20210610,0.6718,Actual,"5,",-1
2021,20210622,0.9104,Actual,"5,",-1
2021,20210622,0.5271,7/29/22SigFile,"5,2",-1
2021,20210702,0.8227,7/29/22SigFile,"5,2",-1
2021,20210702,0.8501,Actual,"5,",-1
2021,20210712,1.3201,Actual,"5,",-1
2021,20210712,0.887,7/29/22SigFile,"5,2",-1
2021,20210725,1.4982,7/29/22SigFile,"5,2",-1
2021,20210725,1.8985,Actual,"5,",-1
2021,20210730,1.8161,Actual,"5,",-1
2021,20210730,8.2084,7/29/22SigFile,"5,2",-1
2021,20210809,0.7646,7/29/22SigFile,"5,2",-1
2021,20210809,0.882,Actual,"5,",-1
2021,20210831,0.5647,Actual,"5,",-1
2021,20210831,0.1497,7/29/22SigFile,"5,2",-1
2022,20220615,0.2515,Actual,"5,",-1
2022,20220615,0.0041,7/29/22SigFile,"5,2",-1
2022,20220615,0.0515,Kmeans,"1,2,3,4",-1
2022,20220625,0.9017,Kmeans,"1,2,3,4",-1
2022,20220625,0.3892,Actual,"5,",-1
2022,20220625,0.068,7/29/22SigFile,"5,2",-1
2022,20220708,0.8143,Actual,"5,",-1
2022,20220708,0.8336,Kmeans,"1,2,3,4",-1
2022,20220708,0.8863,7/29/22SigFile,"5,2",-1
2022,20220710,2.0507,7/29/22SigFile,"5,2",-1
2022,20220710,0.8182999999999999,Kmeans,"1,2,3,4",-1
2022,20220710,1.8812,Actual,"5,",-1
2022,20220720,1.9518,Actual,"5,",-1
2022,20220720,2.2471,7/29/22SigFile,"5,2",-1
2022,20220720,1.2331,Kmeans,"1,2,3,4",-1
2022,20220729,1.5003,Kmeans,"1,2,3,4",-1
2022,20220729,1.8628,Actual,"5,",-1
2022,20220729,1.6209,7/29/22SigFile,"5,2",-1
2022,20220813,0.6504,Kmeans,"1,2,3,4",-1
2022,20220813,0.7631,7/29/22SigFile,"5,2",-1
2022,20220813,1.0425,Actual,"5,",-1
2022,20220828,0.6834,Kmeans,"1,2,3,4",-1
2022,20220828,0.2099,7/29/22SigFile,"5,2",-1
2022,20220828,0.5806,Actual,"5,",-1
2020,20200612,0.0926,Kmeans,"1,2,3,4",1
2020,20200612,1.5082,Kmeans,9,1
2020,20200617,2.0031,Kmeans,9,1
2020,20200617,1.0577,Kmeans,"1,2,3,4",1
2020,20200627,1.1108,Kmeans,9,1
2020,20200627,0.6779000000000001,Kmeans,"1,2,3,4",1
2020,20200705,0.4837,Kmeans,"1,2,3,4",1
2020,20200705,0.6696,Kmeans,9,1
2020,20200717,0.216,Kmeans,"1,2,3,4",1
2020,20200717,0.478,Kmeans,9,1
2020,20200722,0.2627,Kmeans,"1,2,3,4",1
2020,20200722,0.283,Kmeans,9,1
2020,20200730,0.0802,Kmeans,"1,2,3,4",1
2020,20200730,0.1546,Kmeans,9,1
2020,20200811,0.0026999999999999,Kmeans,"1,2,3,4",1
2020,20200811,0.0424,Kmeans,9,1
2020,20200821,0.0186,Kmeans,"1,2,3,4",1
2020,20200821,0.0266,Kmeans,9,1
2022,20220615,0.4568,Kmeans,"1,2,3,4",1
2022,20220625,0.4667,Kmeans,"1,2,3,4",1
2022,20220708,0.7687,Kmeans,"1,2,3,4",1
2022,20220710,0.6386000000000001,Kmeans,"1,2,3,4",1
2022,20220720,0.0386,Kmeans,"1,2,3,4",1
2022,20220729,0.3117,Kmeans,"1,2,3,4",1
2022,20220813,0.1437,Kmeans,"1,2,3,4",1
2022,20220828,1.1957,Kmeans,"1,2,3,4",1
2020,20200612,0.8174000000000001,Kmeans,9,2
2020,20200612,0.0165,Kmeans,"1,2,3,4",2
2020,20200617,1.7771,Kmeans,9,2
2020,20200617,0.223,Kmeans,"1,2,3,4",2
2020,20200627,1.7591,Kmeans,"1,2,3,4",2
2020,20200627,3.0285,Kmeans,9,2
2020,20200705,0.4632,Kmeans,9,2
2020,20200705,1.1015,Kmeans,"1,2,3,4",2
2020,20200717,0.549,Kmeans,"1,2,3,4",2
2020,20200717,0.6597000000000001,Kmeans,9,2
2020,20200722,0.5087,Kmeans,9,2
2020,20200722,0.2229,Kmeans,"1,2,3,4",2
2020,20200730,0.4059,Kmeans,9,2
2020,20200730,0.2367,Kmeans,"1,2,3,4",2
2020,20200811,0.116,Kmeans,"1,2,3,4",2
2020,20200811,0.3354999999999999,Kmeans,9,2
2020,20200821,0.2304,Kmeans,"1,2,3,4",2
2020,20200821,0.2916,Kmeans,9,2
2022,20220615,0.0065,Kmeans,"1,2,3,4",2
2022,20220625,0.013,Kmeans,"1,2,3,4",2
2022,20220708,0.9762,Kmeans,"1,2,3,4",2
2022,20220710,1.4432,Kmeans,"1,2,3,4",2
2022,20220720,0.7407,Kmeans,"1,2,3,4",2
2022,20220729,0.7773,Kmeans,"1,2,3,4",2
2022,20220813,0.4734,Kmeans,"1,2,3,4",2
2022,20220828,0.7289,Kmeans,"1,2,3,4",2
2020,20200612,0.0006,Kmeans,"1,2,3,4",3
2020,20200612,0.0886,Kmeans,9,3
2020,20200617,0.1397999999999999,Kmeans,9,3
2020,20200617,0.015,Kmeans,"1,2,3,4",3
2020,20200627,1.1821,Kmeans,9,3
2020,20200627,0.0865,Kmeans,"1,2,3,4",3
2020,20200705,1.6362,Kmeans,9,3
